T (K)		P (Pa)	vG (m3/kg)	vL (m3/kg)		hG (J/kg)		hL (J/kg)	Lv (J/kg)
298.15		20	948.16	0.00133		360020		0	360020
303.15		20	624.78	0.00134		368310		10530	357780
308.15		40	419.96	0.00134		376710		21200	355510
313.15		50	287.56	0.00135		385240		32000	353240
318.15		80	200.34	0.00135		393870		42930	350940
323.15		110	141.84	0.00136		402620		54000	348620
328.15		160	101.95	0.00137		411490		65190	346300
333.15		220	74.32	0.00137		420460		76520	343940
338.15		300	54.91	0.00138		429550		87990	341560
343.15		410	41.069	0.00139		438750		99580	339170
348.15		550	31.08	0.00139		448050		111300	336750
353.15		720	23.781	0.0014		457460		123150	334310
358.15		950	18.386	0.00141		466980		135120	331860
363.15		1240	14.213	0.00142		476600		147220	329380
368.15		1600	11.233	0.00142		486320		159450	326870
373.15		2030	8.95	0.00143		496150		171810	324340
378.15		2560	7.185	0.00144		506070		184290	321780
383.15		3200	5.811	0.00145		516090		196890	319200
388.15		3980	4.732	0.00146		526210		209610	316600
393.15		4910	3.879	0.00147		536420		222460	313960
398.15		6020	3.201	0.00148		546730		235420	311310
403.15		7330	2.657	0.00148		557120		248500	308620
408.15		8880	2.218	0.00149		567600		261700	305900
413.15		10690	1.862	0.0015		578170		275020	303150
418.15		12790	1.571	0.00151		588830		288450	300380
423.15		15230	1.333	0.00152		599560		302000	297560
428.15		18030	1.136	0.00153		610370		315660	294710
433.15		21300	0.9727	0.00154		621270		329430	291840
438.15		24900	0.8365	0.00155		632230		343310	288920
443.15		29100	0.7224	0.00156		643280		357300	285980
448.15		33800	0.6264	0.00158		654390		371410	282980
453.15		39200	0.5452	0.00159		665570		385620	279950
458.15		45100	0.4762	0.0016		676820		399940	276880
463.15		51800	0.4174	0.00161		688130		414360	273770
468.15		59300	0.3671	0.00162		699500		428890	270610
473.15		67600	0.3239	0.00163		710940		443530	267410
478.15		76800	0.2866	0.00165		722430		458270	264160
483.15		87000	0.2543	0.00166		733970		473120	260850
488.15		98200	0.2262	0.00167		745570		488070	257500
493.15		110500	0.2018	0.00169		757210		503130	254080
498.15		124000	0.1804	0.0017		768900		518290	250610
503.15		138700	0.1617	0.00172		780640		533560	247080
