T (K)	Psat (Pa)	vG (m3/kg)	vL (m3/kg)	hG (J/Kg)	hL (J/Kg)	Lv (J/kg)
60	726.788	18.28250492	0.000780415	54204	-183846	238050
60.1	745.46	17.9335526	0.000780683	54294.1	-183679	237973.1
60.2	764.542	17.59209904	0.000780951	54384.1	-183513	237897.1
60.3	784.042	17.25789333	0.000781226	54474.1	-183346	237820.1
60.4	803.968	16.93072961	0.000781494	54564.1	-183180	237744.1
60.5	824.327	16.61035755	0.000781763	54654.1	-183014	237668.1
60.6	845.127	16.29659809	0.000782038	54744.1	-182847	237591.1
60.7	866.376	15.98922965	0.000782307	54834.1	-182681	237515.1
60.8	888.081	15.68812017	0.000782577	54924	-182514	237438
60.9	910.25	15.39306973	0.000782852	55013.9	-182348	237361.9
61	932.892	15.10391493	0.000783122	55103.8	-182181	237284.8
61.1	956.014	14.82052346	0.000783392	55193.7	-182015	237208.7
61.2	979.626	14.54270465	0.000783668	55283.6	-181849	237132.6
61.3	1003.73	14.27036345	0.000783939	55373.5	-181682	237055.5
61.4	1028.35	14.0033468	0.000784209	55463.3	-181516	236979.3
61.5	1053.48	13.74151118	0.000784486	55553.2	-181349	236902.2
61.6	1079.13	13.48475818	0.000784757	55643	-181183	236826
61.7	1105.31	13.23297446	0.000785034	55732.8	-181016	236748.8
61.8	1132.04	12.98603482	0.000785305	55822.5	-180850	236672.5
61.9	1159.31	12.7438374	0.000785583	55912.3	-180683	236595.3
62	1187.15	12.50628441	0.000785855	56002	-180517	236519
62.1	1215.55	12.2732818	0.000786133	56091.7	-180350	236441.7
62.2	1244.53	12.04470996	0.000786405	56181.4	-180184	236365.4
62.3	1274.09	11.82049864	0.000786677	56271.1	-180017	236288.1
62.4	1304.25	11.60055126	0.000786955	56360.7	-179851	236211.7
62.5	1335.02	11.38478878	0.000787228	56450.4	-179684	236134.4
62.6	1366.41	11.17312194	0.000787507	56540	-179518	236058
62.7	1398.42	10.96547739	0.000787786	56629.5	-179351	235980.5
62.8	1431.06	10.76177203	0.000788059	56719.1	-179185	235904.1
62.9	1464.36	10.56192616	0.000788339	56808.6	-179018	235826.6
63	1498.31	10.36588463	0.000788612	56898.1	-178852	235750.1
63.1	1532.92	10.1735506	0.000788892	56987.6	-178685	235672.6
63.2	1568.21	9.984922767	0.000789166	57077.1	-178519	235596.1
63.3	1604.19	9.799790284	0.000789447	57166.5	-178352	235518.5
63.4	1640.87	9.618159084	0.000789727	57255.9	-178186	235441.9
63.5	1678.26	9.44010724	0.000790002	57345.3	-178019	235364.3
63.6	1716.37	9.265350369	0.000790283	57434.7	-177852	235286.7
63.7	1755.21	9.093885272	0.000790558	57524	-177686	235210
63.8	1794.79	8.925782122	0.000790839	57613.3	-177519	235132.3
63.9	1835.13	8.760863471	0.00079112	57702.6	-177353	235055.6
64	1876.23	8.599043786	0.000791396	57791.9	-177186	234977.9
64.1	1918.1	8.440314317	0.000791678	57881.1	-177020	234901.1
64.2	1960.77	8.28466095	0.00079196	57970.3	-176853	234823.3
64.3	2004.24	8.131998601	0.000792236	58059.5	-176686	234745.5
64.4	2048.52	7.982247482	0.000792519	58148.6	-176520	234668.6
64.5	2093.62	7.835394042	0.000792801	58237.7	-176353	234590.7
64.6	2139.56	7.691301907	0.000793084	58326.8	-176186	234512.8
64.7	2186.35	7.550018875	0.000793361	58415.9	-176020	234435.9
64.8	2234	7.411469991	0.000793644	58504.9	-175853	234357.9
64.9	2282.52	7.275584593	0.000793928	58593.9	-175687	234280.9
65	2331.93	7.142295962	0.000794212	58682.8	-175520	234202.8
65.1	2382.24	7.011590159	0.000794496	58771.8	-175353	234124.8
65.2	2433.46	6.883402053	0.000794774	58860.7	-175187	234047.7
65.3	2485.6	6.757715622	0.000795058	58949.6	-175020	233969.6
65.4	2538.69	6.634467385	0.000795342	59038.4	-174853	233891.4
65.5	2592.73	6.513597134	0.000795627	59127.2	-174686	233813.2
65.6	2647.73	6.395088572	0.000795912	59216	-174520	233736
65.7	2703.71	6.278843437	0.000796197	59304.7	-174353	233657.7
65.8	2760.68	6.164886042	0.000796476	59393.4	-174186	233579.4
65.9	2818.66	6.053158841	0.000796762	59482.1	-174020	233502.1
