T (K)	Psat (T)	vG (m3/kg)	vL (m3/kg)	hG (J/kg)	hL (J/kg)	Lv (J/kg)
298	3141.7	43.705	0.001003	2546200	104200	2442000
300	3536.8	39.078	0.0010035	2549900	112560	2437340
302	3974.5	35.002	0.0010041	2553500	120930	2432570
304	4458.6	31.403	0.0010047	2557100	129290	2427810
306	4993.2	28.222	0.0010053	2560700	137650	2423050
308	5582.5	25.403	0.001006	2564300	146010	2418290
310	6231.1	22.903	0.0010067	2567900	154370	2413530
312	6944	20.68	0.0010074	2571500	162730	2408770
314	7726.2	18.702	0.0010082	2575000	171090	2403910
316	8583.4	16.938	0.001009	2578600	179450	2399150
318	9521.2	15.363	0.0010099	2582200	187810	2394390
320	10546	13.954	0.0010107	2585700	196170	2389530
322	11664	12.693	0.0010116	2589300	204530	2384770
324	12882	11.561	0.0010125	2592800	212900	2379900
326	14208	10.544	0.0010135	2596300	221260	2375040
328	15649	9.6291	0.0010145	2599800	229630	2370170
330	17213	8.805	0.0010155	2603300	238000	2365300
332	18909	8.0616	0.0010165	2606800	246370	2360430
334	20744	7.3901	0.0010176	2610300	254740	2355560
336	22730	6.7827	0.0010187	2613800	263110	2350690
338	24874	6.2327	0.0010198	2617200	271490	2345710
340	27188	5.7339	0.0010209	2620700	279870	2340830
342	29681	5.281	0.0010221	2624100	288250	2335850
344	32366	4.8693	0.0010233	2627500	296630	2330870
346	35253	4.4947	0.0010245	2631000	305010	2325990
348	38354	4.1533	0.0010257	2634300	313400	2320900
350	41682	3.8419	0.001027	2637700	321790	2315910
352	45249	3.5575	0.0010283	2641100	330180	2310920
354	49070	3.2975	0.0010296	2644400	338580	2305820
356	53158	3.0595	0.001031	2647800	346980	2300820
358	57527	2.8414	0.0010323	2651100	355380	2295720
360	62194	2.6414	0.0010337	2654400	363790	2290610
362	67172	2.4578	0.0010351	2657700	372200	2285500
364	72478	2.2891	0.0010366	2660900	380620	2280280
366	78129	2.1338	0.001038	2664200	389030	2275170
368	84142	1.9908	0.0010395	2667400	397460	2269940
370	90535	1.859	0.001041	2670600	405880	2264720
372	97326	1.7374	0.0010426	2673800	414320	2259480
374	104530	1.6251	0.0010441	2676900	422750	2254150
376	112180	1.5213	0.0010457	2680000	431190	2248810
378	120280	1.4253	0.0010473	2683200	439640	2243560
380	128850	1.3364	0.001049	2686200	448090	2238110
382	137930	1.2539	0.0010506	2689300	456550	2232750
384	147520	1.1775	0.0010523	2692400	465010	2227390
386	157660	1.1065	0.001054	2695400	473480	2221920
388	168360	1.0406	0.0010557	2698400	481960	2216440
390	179640	0.97928	0.0010575	2701300	490440	2210860
392	191540	0.92223	0.0010593	2704300	498930	2205370
394	204080	0.86909	0.0010611	2707200	507420	2199780
396	217280	0.81956	0.0010629	2710000	515930	2194070
398	231170	0.77336	0.0010648	2712900	524440	2188460
400	245770	0.73024	0.0010667	2715700	532950	2182750
402	261110	0.68996	0.0010686	2718500	541480	2177020
404	277220	0.65231	0.0010705	2721200	550010	2171190
406	294130	0.61709	0.0010725	2724000	558550	2165450
408	311870	0.58412	0.0010745	2726700	567100	2159600
410	330450	0.55323	0.0010765	2729300	575660	2153640
412	349930	0.52428	0.0010786	2731900	584230	2147670
414	370320	0.49712	0.0010806	2734500	592810	2141690
416	391660	0.47164	0.0010827	2737100	601400	2135700
418	413970	0.4477	0.0010849	2739600	609990	2129610
420	437300	0.4252	0.001087	2742100	618600	2123500
422	461670	0.40405	0.0010892	2744500	627220	2117280
424	487110	0.38414	0.0010915	2746900	635850	2111050
426	513670	0.3654	0.0010937	2749300	644490	2104810
428	541380	0.34774	0.001096	2751600	653140	2098460
430	570260	0.3311	0.0010983	2753900	661800	2092100
432	600360	0.3154	0.0011006	2756200	670480	2085720
434	631720	0.30059	0.001103	2758400	679170	2079230
436	664360	0.2866	0.0011054	2760500	687870	2072630
438	698330	0.27339	0.0011078	2762700	696580	2066120
440	733670	0.2609	0.0011103	2764700	705310	2059390
442	770410	0.24909	0.0011128	2766800	714050	2052750
444	808590	0.23791	0.0011153	2768700	722810	2045890
446	848260	0.22733	0.0011179	2770700	731580	2039120
448	889450	0.21731	0.0011205	2772600	740360	2032240
450	932200	0.20781	0.0011232	2774400	749160	2025240
452	976560	0.19881	0.0011258	2776200	757980	2018220
454	1022600	0.19027	0.0011286	2778000	766810	2011190
456	1070300	0.18216	0.0011313	2779600	775660	2003940
458	1119700	0.17446	0.0011341	2781300	784520	1996780
460	1170900	0.16715	0.0011369	2782900	793410	1989490
462	1223900	0.1602	0.0011398	2784400	802310	1982090
464	1278800	0.15359	0.0011427	2785900	811220	1974680
466	1335600	0.14731	0.0011456	2787300	820160	1967140
468	1394300	0.14133	0.0011486	2788700	829120	1959580
470	1455100	0.13564	0.0011517	2790000	838090	1951910
472	1517900	0.13021	0.0011547	2791300	847090	1944210
474	1582800	0.12504	0.0011579	2792500	856110	1936390
